0.0, 0.11, 0.22, 0.94, 0.29, 0.17, 0.25, 0.59, 0.07
0.35, 0.1, 0.43, 0.74, 0.79, 0.16, 0.47, 0.16, 0.38
0.43, 0.75, 1.0, 0.34, 0.75, 0.1, 0.41, 0.38, 0.04
0.95, 0.67, 0.21, 0.34, 0.92, 0.72, 0.73, 0.79, 0.5
0.32, 0.94, 0.61, 0.8, 0.44, 0.12, 0.84, 0.98, 0.59
0.97, 0.78, 0.57, 0.19, 0.94, 0.83, 0.68, 0.15, 0.78
0.07, 0.67, 0.89, 0.61, 0.1, 0.53, 0.01, 0.82, 0.39
0.72, 0.89, 0.89, 0.97, 0.59, 0.6, 0.51, 0.18, 0.97
0.28, 0.77, 0.37, 0.01, 0.68, 1.0, 0.06, 0.72, 0.4
0.64, 0.35, 0.37, 0.92, 0.2, 0.22, 0.72, 0.52, 0.45
0.29, 0.13, 0.95, 0.77, 0.31, 0.55, 0.99, 0.52, 0.62
0.93, 0.38, 0.48, 0.07, 0.98, 0.94, 0.67, 0.85, 0.33
0.37, 0.46, 0.03, 0.76, 0.7, 0.71, 0.67, 0.76, 0.86
0.95, 0.59, 0.19, 0.71, 0.38, 0.7, 0.8, 0.48, 0.57
0.81, 0.6, 0.94, 0.02, 0.08, 0.67, 0.79, 0.62, 0.35
0.44, 0.56, 0.09, 0.0, 0.97, 0.09, 0.45, 0.57, 0.58
0.51, 0.43, 0.42, 0.87, 0.94, 0.53, 0.18, 0.32, 0.4
0.01, 0.58, 0.03, 0.63, 0.73, 0.02, 0.05, 0.72, 0.25
0.13, 0.02, 0.36, 0.12, 0.32, 0.12, 0.7, 0.97, 0.26
0.62, 0.97, 0.7, 0.41, 0.05, 0.2, 0.74, 0.37, 0.45
0.2, 0.67, 0.63, 0.01, 0.86, 0.06, 0.43, 0.45, 0.58
0.58, 0.75, 0.85, 0.82, 0.56, 0.52, 0.86, 0.58, 0.03
0.16, 0.54, 0.64, 0.6, 0.17, 0.21, 0.09, 0.99, 0.29
0.51, 0.34, 0.55, 1.0, 0.09, 0.24, 0.1, 0.37, 0.16
0.2, 0.76, 0.51, 0.9, 0.88, 0.24, 0.65, 0.39, 0.21
0.64, 0.23, 0.6, 0.63, 0.87, 0.05, 0.47, 0.31, 0.52
0.43, 0.91, 0.69, 0.03, 0.92, 0.16, 0.09, 0.33, 0.35
0.92, 0.17, 0.99, 0.82, 0.76, 0.72, 0.99, 0.11, 0.97
0.09, 0.34, 0.7, 0.01, 0.87, 0.62, 0.07, 0.09, 0.07
0.11, 0.37, 0.0, 0.72, 0.16, 0.59, 0.95, 0.38, 0.42
0.93, 0.29, 0.03, 0.69, 0.81, 0.47, 0.57, 0.68, 1.0
0.11, 0.64, 0.29, 0.87, 0.27, 0.37, 0.31, 0.42, 0.02
0.23, 0.26, 0.64, 0.74, 0.76, 0.47, 0.75, 0.84, 0.97
0.24, 0.94, 0.24, 0.85, 0.07, 0.31, 0.71, 0.39, 0.61
0.22, 0.12, 0.82, 0.28, 0.61, 0.45, 0.94, 0.89, 0.86
0.61, 0.05, 0.55, 0.75, 0.2, 0.59, 0.45, 0.56, 0.98
0.71, 0.3, 0.2, 0.64, 0.33, 0.26, 0.33, 0.92, 0.06
0.41, 0.12, 0.6, 0.3, 0.31, 0.92, 0.23, 0.38, 0.24
0.28, 0.36, 0.58, 0.69, 0.76, 0.02, 0.11, 0.15, 0.93
0.44, 0.66, 0.33, 0.81, 0.78, 0.78, 0.92, 0.41, 0.09
0.39, 0.04, 0.08, 0.5, 0.67, 0.19, 0.93, 0.44, 0.64
0.46, 0.29, 0.88, 0.68, 0.32, 0.99, 0.45, 0.3, 0.87
0.22, 0.87, 0.16, 0.61, 0.14, 0.16, 0.94, 0.82, 0.3
0.1, 0.4, 0.56, 0.2, 0.56, 0.02, 0.05, 0.71, 0.43
0.85, 0.6, 0.57, 0.79, 0.25, 0.76, 0.6, 0.36, 0.49
0.27, 0.91, 0.45, 0.7, 0.52, 0.75, 0.16, 0.03, 0.75
0.33, 0.53, 0.66, 0.16, 0.51, 0.64, 0.63, 0.37, 0.25
0.68, 0.48, 0.28, 0.69, 0.46, 0.66, 0.06, 0.16, 0.14
0.31, 0.53, 0.26, 0.33, 0.92, 0.34, 0.37, 0.26, 0.9
0.69, 0.28, 0.62, 0.41, 0.13, 0.36, 0.26, 0.19, 0.32
0.83, 0.4, 0.52, 0.83, 0.61, 0.54, 0.79, 0.62, 0.49
0.96, 0.2, 0.14, 0.21, 0.68, 0.12, 0.01, 0.24, 0.94
0.88, 0.97, 0.12, 0.31, 0.07, 0.41, 0.04, 0.61, 0.63
0.52, 0.98, 0.16, 0.73, 0.38, 0.36, 0.63, 0.43, 0.5
1.0, 0.51, 0.82, 0.39, 0.13, 0.56, 0.43, 0.15, 0.26
0.2, 0.37, 0.06, 0.97, 0.65, 0.88, 0.11, 0.36, 0.93
0.49, 0.65, 0.44, 0.48, 0.92, 0.95, 0.18, 0.26, 0.22
0.14, 0.6, 0.57, 0.18, 0.29, 0.13, 0.22, 0.24, 0.65
0.22, 0.63, 0.97, 0.22, 0.14, 0.08, 0.22, 0.61, 0.76
0.45, 0.32, 0.16, 0.29, 0.01, 0.02, 1.0, 0.39, 0.63
0.74, 0.22, 0.26, 0.65, 0.01, 0.92, 0.55, 1.0, 0.11
0.7, 0.76, 0.83, 0.29, 0.63, 0.92, 0.65, 0.32, 0.3
0.37, 0.24, 0.04, 0.04, 0.74, 0.09, 0.09, 0.24, 0.34
0.85, 0.28, 0.9, 0.65, 0.01, 0.11, 0.37, 0.28, 0.62
0.27, 0.28, 0.61, 0.02, 0.59, 0.62, 0.26, 0.37, 0.49
0.56, 0.5, 0.13, 0.53, 0.03, 0.37, 0.37, 0.29, 0.31
0.26, 0.52, 1.0, 0.66, 0.37, 0.1, 0.46, 0.5, 0.33
0.28, 0.67, 0.76, 0.7, 0.32, 0.19, 0.86, 0.2, 0.47
